"pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked","boat","body","home.dest","has_cabin_number"
1,1,1130,1,23,1,0,132,82.2667,NA,NA,7,NA,228,1
1,1,1135,2,6,0,2,106,134.5,NA,NA,3,NA,341,1
1,1,1136,2,45,1,1,106,134.5,NA,NA,3,NA,341,1
1,1,1137,1,40,1,1,106,134.5,NA,NA,3,NA,341,1
1,0,1138,2,57,1,0,803,146.5208,NA,NA,NA,NA,258,1
1,1,1139,1,29.8811345124283,1,0,803,146.5208,NA,NA,6,NA,258,1
1,1,1141,2,32,0,0,91,30.5,NA,NA,3,NA,20,1
1,0,1147,2,62,0,0,42,26.55,NA,NA,NA,NA,360,1
1,1,1148,2,54,1,0,81,55.4417,NA,NA,1,NA,243,1
1,1,1149,1,43,1,0,81,55.4417,NA,NA,5,NA,243,1
1,1,1150,1,52,1,0,628,78.2667,NA,NA,4,NA,155,1
1,0,1151,2,29.8811345124283,0,0,822,27.7208,NA,NA,NA,NA,126,0
1,1,1153,1,62,0,0,43,80,NA,NA,6,NA,64,1
1,0,1158,2,67,1,0,798,221.7792,NA,NA,NA,96,237,1
1,0,1159,1,63,1,0,798,221.7792,NA,NA,NA,NA,237,1
1,0,1166,2,61,0,0,629,32.3208,NA,NA,NA,46,146,1
1,1,1172,1,48,0,0,113,25.9292,NA,NA,8,NA,49,1
1,1,1173,1,18,0,2,2,79.65,NA,NA,8,NA,237,1
1,0,1174,2,52,1,1,2,79.65,NA,NA,NA,NA,237,1
1,1,1175,1,39,1,1,2,79.65,NA,NA,8,NA,237,1
1,1,1176,2,48,1,0,128,52,NA,NA,NA,NA,199,1
1,1,1177,1,29.8811345124283,1,0,128,52,NA,NA,NA,NA,199,1
1,0,1179,2,49,1,1,108,110.8833,NA,NA,NA,NA,155,1
1,1,1180,2,17,0,2,108,110.8833,NA,NA,NA,NA,155,1
1,1,1181,1,39,1,1,108,110.8833,NA,NA,4,NA,155,1
1,1,1189,1,29.8811345124283,0,0,807,79.2,NA,NA,NA,NA,237,0
1,1,1207,2,31,0,0,228,28.5375,NA,NA,7,NA,3,1
1,0,1213,2,40,0,0,819,27.7208,NA,NA,NA,NA,224,0
1,0,1217,2,61,0,0,9,33.5,NA,NA,NA,245,49,1
1,0,1237,2,47,0,0,630,34.0208,NA,NA,NA,NA,101,1
1,1,1238,1,35,0,0,832,512.3292,NA,NA,3,NA,NA,0
1,0,1244,2,64,1,0,7,75.25,NA,NA,NA,NA,270,1
1,1,1245,1,60,1,0,7,75.25,NA,NA,5,NA,270,1
1,0,1251,2,60,0,0,64,26.55,NA,NA,NA,NA,118,0
1,0,1265,2,54,0,1,575,77.2875,NA,NA,NA,NA,51,1
1,0,1266,2,21,0,1,575,77.2875,NA,NA,NA,169,51,1
1,1,1267,1,55,0,0,837,135.6333,NA,NA,8,NA,239,1
1,1,1268,1,31,0,2,627,164.8667,NA,NA,8,NA,368,1
1,0,1269,2,57,1,1,627,164.8667,NA,NA,NA,NA,368,0
1,1,1270,1,45,1,1,627,164.8667,NA,NA,8,NA,368,0
1,0,1272,2,50,1,1,38,211.5,NA,NA,NA,NA,105,1
1,0,1273,2,27,0,2,38,211.5,NA,NA,NA,NA,105,1
1,1,1274,1,50,1,1,38,211.5,NA,NA,4,NA,105,1
1,1,1279,1,21,0,0,61,26.55,NA,NA,NA,NA,99,0
1,0,1283,2,51,0,1,815,61.3792,NA,NA,NA,NA,127,0
1,1,1287,2,21,0,1,815,61.3792,NA,NA,NA,NA,127,0
1,0,1282,2,29.8811345124283,0,0,41,35,NA,NA,NA,NA,212,1
1,1,1288,1,31,0,0,106,134.5,NA,NA,3,NA,NA,1
1,1,1293,2,29.8811345124283,0,0,123,35.5,NA,NA,NA,NA,212,1
1,0,1295,2,62,0,0,69,26.55,NA,NA,NA,NA,148,0
1,1,1298,1,36,0,0,837,135.6333,NA,NA,8,NA,242,1
2,0,7,2,30,1,0,790,24,NA,NA,NA,NA,282,0
2,1,8,1,28,1,0,790,24,NA,NA,10,NA,282,0
2,0,17,2,30,0,0,214,13,NA,NA,NA,NA,53,0
2,0,44,2,18,0,0,151,11.5,NA,NA,NA,NA,54,0
2,0,45,2,25,0,0,766,10.5,NA,NA,NA,NA,85,0
2,0,49,2,34,1,0,143,26,NA,NA,NA,NA,348,0
2,1,50,1,36,1,0,143,26,NA,NA,11,NA,348,0
2,0,56,2,57,0,0,196,13,NA,NA,NA,NA,354,0
2,0,85,2,18,0,0,324,11.5,NA,NA,NA,NA,262,0
2,0,86,2,23,0,0,761,10.5,NA,NA,NA,NA,139,0
2,1,88,1,36,0,0,313,13,NA,NA,10,NA,42,1
2,0,89,2,28,0,0,775,10.5,NA,NA,NA,NA,266,0
2,0,97,2,51,0,0,849,12.525,NA,NA,NA,174,178,0
2,1,102,2,32,1,0,318,26,NA,NA,13,NA,248,0
2,1,103,1,19,1,0,318,26,NA,NA,13,NA,248,0
2,0,105,2,28,0,0,197,26,NA,NA,NA,NA,107,0
2,1,107,2,1,2,1,147,39,NA,NA,11,NA,145,1
2,1,108,1,4,2,1,147,39,NA,NA,11,NA,145,1
2,1,109,1,12,2,1,147,39,NA,NA,13,NA,145,1
2,1,110,1,36,0,3,147,39,NA,NA,11,NA,145,1
2,1,113,2,34,0,0,204,13,NA,NA,13,NA,197,1
2,1,116,1,19,0,0,310,13,NA,NA,12,NA,276,0
2,0,118,2,23,0,0,312,13,NA,NA,NA,NA,304,0
2,0,137,2,26,0,0,171,13,NA,NA,NA,NA,106,0
2,0,147,2,42,0,0,130,13,NA,NA,NA,NA,197,0
2,0,149,2,27,0,0,137,13,NA,NA,NA,NA,188,0
2,1,160,1,24,0,0,210,13,NA,NA,11,NA,204,1
2,1,161,1,15,0,2,326,39,NA,NA,14,NA,60,0
2,0,162,2,60,1,1,326,39,NA,NA,NA,NA,60,0
2,1,165,1,40,1,1,326,39,NA,NA,14,NA,60,0
2,1,166,1,20,1,0,163,26,NA,NA,12,NA,291,0
2,0,167,2,25,1,0,163,26,NA,NA,NA,NA,291,0
2,1,174,1,36,0,0,299,13,NA,NA,9,NA,290,0
2,0,175,2,25,0,0,158,13,NA,NA,NA,97,296,0
2,0,177,2,42,0,0,195,13,NA,NA,NA,NA,197,0
2,1,178,1,42,0,0,162,13,NA,NA,NA,NA,237,0
2,1,185,2,0.8333,0,2,212,29,NA,NA,13,NA,17,0
2,1,186,2,26,1,1,212,29,NA,NA,13,NA,17,0
2,1,187,1,22,1,1,212,29,NA,NA,13,NA,17,0
2,1,190,1,35,0,0,782,21,NA,NA,14,NA,220,0
2,0,191,2,29.8811345124283,0,0,179,0,NA,NA,NA,NA,23,0
2,0,198,2,19,0,0,311,13,NA,NA,NA,18,304,0
2,0,211,1,44,1,0,192,26,NA,NA,NA,NA,197,0
2,0,213,2,54,1,0,192,26,NA,NA,NA,NA,197,0
2,0,224,2,52,0,0,209,13.5,NA,NA,NA,130,47,0
2,0,225,2,37,1,0,856,26,NA,NA,NA,17,84,0
2,0,226,1,29,1,0,856,26,NA,NA,NA,NA,84,0
2,1,235,1,25,1,1,176,30,NA,NA,12,NA,197,0
2,1,236,1,45,0,2,176,30,NA,NA,12,NA,197,0
2,0,241,2,29,1,0,129,26,NA,NA,NA,NA,113,0
2,1,242,1,28,1,0,129,26,NA,NA,14,NA,113,0
2,0,250,2,29,0,0,922,10.5,NA,NA,NA,NA,154,0
2,0,251,2,28,0,0,213,13,NA,NA,NA,NA,157,0
2,1,252,2,24,0,0,301,10.5,NA,NA,9,NA,202,0
2,1,254,1,8,0,2,762,26.25,NA,NA,14,NA,32,0
2,0,255,2,31,1,1,762,26.25,NA,NA,NA,NA,32,0
2,1,256,1,31,1,1,762,26.25,NA,NA,14,NA,32,0
2,1,265,1,22,0,0,923,10.5,NA,NA,14,NA,261,1
2,0,269,1,30,0,0,166,13,NA,NA,NA,NA,274,0
2,0,270,1,29.8811345124283,0,0,785,21,NA,NA,NA,NA,343,0
2,0,273,2,21,0,0,323,11.5,NA,NA,NA,NA,262,0
